invader_id,city_code,points,gt_lat,gt_lng,gt_source,confidence,n_street_signs,n_shop_signs,n_landmarks,n_building_numbers,n_metro_bus,n_other_clues,n_total_clues,has_district,has_postcode,has_address,reasoning_length,address_length,address_has_number,address_has_business,address_n_business,signs_total_business,geo_success,geo_lat,geo_lng,distance_to_center_km,distance_to_district_km,district_geocodes,city_coherent,error_km,error_class,best_address_guess,district,street_signs,shop_signs,landmarks
PA_443,PA,10,48.8761813678,2.3811833534,,HIGH,0,0,1,0,0,5,6,1,1,1,416,29,0,1,1,1,1,48.8641167,2.3606504,1.04,0.023,1,1,2.0137,APPROX,"Square du Temple, 75003 Paris",3e arrondissement,,,Square du Temple
PA_1023,PA,50,48.8571434789,2.3574541668,,MEDIUM,0,2,0,0,0,7,9,1,0,1,558,37,0,0,0,0,1,48.8581725,2.3596941,0.575,,0,1,0.1999,GOOD,"Rue des Francs-Bourgeois, 75004 Paris",1er ou 4e arrondissement (Marais/Châtelet),,UGG|CHEVIGNON,
PA_180,PA,20,48.8511406292,2.3319739157,,LOW,0,0,0,0,0,8,8,1,0,1,520,65,0,0,0,0,1,48.8644647,2.3717367,1.676,,0,1,3.2645,ZONE,"Rue dans le Marais ou secteur Oberkampf, 3e ou 11e arrondissement",3e ou 11e arrondissement,,,
PA_108,PA,30,48.8594157495,2.2937434222,,HIGH,1,0,1,0,0,7,9,1,1,1,415,24,0,0,0,0,1,48.859722,2.2922318,4.401,1.476,1,1,0.1157,GOOD,"Pont d'Iéna, 75007 Paris",7e arrondissement,PONT D'IENA,,Pont d'Iéna
PA_804,PA,20,48.8206783761,2.3756290167,,HIGH,0,0,1,1,0,5,7,1,1,1,446,35,0,0,0,0,1,48.8607767,2.3517736,0.465,0.581,1,1,4.7883,ZONE,"Place Georges-Pompidou, 75004 Paris",4e arrondissement,,,Centre Pompidou
PA_1525,PA,100,48.831308,2.353958,,MEDIUM,0,0,0,0,0,5,5,1,0,1,475,64,0,0,0,0,1,48.8295314,2.3778112,3.546,1.65,1,1,1.7572,APPROX,"Avenue de France ou Boulevard Vincent Auriol, 13e arrondissement",13e arrondissement,,,
PA_741,PA,30,48.8822277496,2.3705596314,,MEDIUM,0,0,0,1,0,9,10,1,0,1,432,33,1,0,0,0,1,48.8198495,2.359242,4.119,,0,1,6.9854,ZONE,"1816 avenue d'Italie, 75013 Paris",13e ou 15e arrondissement,,,
PA_303,PA,10,48.8268026618,2.3506983898,,HIGH,2,0,1,0,0,4,7,1,1,1,365,27,0,0,0,1,1,48.8272702,2.3505079,3.264,0.755,1,1,0.0538,EXCELLENT,"Passage Boiton, 75013 Paris",13e arrondissement,PASSAGE BOITON|13e Arr't,,Église du Val-de-Grâce
PA_723,PA,10,48.8813406248,2.3274481096,,MEDIUM,0,1,0,0,0,7,8,1,0,1,457,73,0,0,0,0,1,48.8531373,2.328747,1.759,,0,1,3.1375,ZONE,"Proximité rue du Cherche-Midi ou rue de Grenelle, 6e ou 7e arrondissement","Quartier chic/central (probablement 6e, 7e ou 8e arrondissement)",,LE VAISSEAU VERT,
PA_1069,PA,20,48.8681808909,2.3880594332,,HIGH,1,2,1,0,0,5,9,1,0,1,382,33,1,0,0,2,1,48.8678759,2.3894583,3.0,1.271,1,1,0.1078,GOOD,"7 rue des Plâtrières, 75011 Paris",11e arrondissement,Rue des Plâtrières,Restaurant TURC DONER BURGER|GRILL KEBAB,Théâtre 7ème Rue des Plâtrières
PA_1110,PA,50,48.8457393431,2.4138388128,,LOW,0,0,0,0,0,7,7,1,0,1,612,49,0,0,0,0,1,48.8231439,2.3814158,4.291,2.168,1,1,3.4561,ZONE,"Boulevard Périphérique, 13e arrondissement, Paris",13e arrondissement,,,
PA_271,PA,10,48.8690897468,2.3774788452,,LOW,0,0,0,0,0,7,7,1,0,1,404,80,0,0,0,0,1,48.831089,2.3781628,3.414,,0,1,4.2258,ZONE,"Quartier résidentiel du 13e arrondissement, secteur Butte-aux-Cailles ou Tolbiac",13e ou 19e arrondissement,,,
PA_206,PA,20,48.883499396,2.3274004051,,HIGH,0,0,1,0,0,6,7,1,0,1,537,33,0,0,0,0,1,48.8526196,2.3687761,1.291,1.027,1,1,4.577,ZONE,"Place de la Bastille, 75011 Paris",11e arrondissement,,,Colonne avec bas-reliefs sculptés
PA_39,PA,10,48.8483071245,2.3464450838,,HIGH,2,0,0,0,0,5,7,1,1,1,466,62,0,0,0,0,1,48.848173,2.3465461,1.024,0.293,1,1,0.0166,EXCELLENT,"Angle de la Rue d'Ecosse et Rue Denfert-Rochereau, 75005 Paris",5e arrondissement,RUE D'ECOSSE|RUE ...ENFERT,,
PA_76,PA,10,48.8382501724,2.3573038327,,MEDIUM,0,1,1,0,0,6,8,1,0,1,552,35,0,0,0,1,1,48.8630385,2.3880764,2.72,,0,1,3.5591,ZONE,"Place Auguste Métivier, 75020 Paris",11e ou 20e arrondissement,,café brasserie,Statue de soldat avec drapeau sur place
PA_46,PA,10,48.8522592738,2.3391309585,,HIGH,0,1,1,0,0,5,7,1,1,1,427,63,0,0,0,0,1,48.8534802,2.3687766,1.261,1.009,1,1,2.1733,APPROX,"Place de la Bastille, angle Boulevard Beaumarchais, 75004 Paris",4e arrondissement,,HSBC,Monument à Beaumarchais
PA_1509,PA,30,48.8558715427,2.3568034602,,HIGH,2,1,1,1,0,5,10,1,1,1,449,34,1,0,0,0,1,48.8557693,2.3569826,0.362,0.334,1,1,0.0173,EXCELLENT,"15 rue François Miron, 75004 Paris",4e arrondissement (Le Marais),RUE FRANCOIS MIRON|4e Arr.,Faust,Maison à colombages (architecture médiévale)
PA_1369,PA,100,48.9040075428,2.3591090807,,MEDIUM,0,3,0,0,0,7,10,1,1,1,535,37,0,0,0,0,1,48.8342252,2.3663044,2.694,0.772,1,1,7.7773,ZONE,"Boulevard Vincent Auriol, 75013 Paris",13e arrondissement,,GROUPE TRANCHANT|CASINO|ALLO ma,
PA_1157,PA,30,48.8640269834,2.3547600528,,MEDIUM,0,1,0,0,0,6,7,1,0,1,551,25,0,0,0,0,1,48.8632236,2.3517203,0.737,,0,1,0.2396,GOOD,"Rue aux Ours, 75003 Paris",3e ou 4e arrondissement,,PARAPH,
PA_111,PA,10,48.8915853826,2.3445750068,,HIGH,1,0,0,0,0,5,6,1,1,1,366,23,0,0,0,0,1,48.8913784,2.3444428,3.909,0.519,1,1,0.025,EXCELLENT,"Rue Hermel, 75018 Paris",18e arrondissement (Montmartre),RUE HERMEL,,
PA_1183,PA,30,48.8457730965,2.4028507946,,MEDIUM,0,1,0,0,0,7,8,1,0,1,492,26,0,0,0,0,1,48.8644647,2.3717367,1.676,0.89,1,1,3.0825,ZONE,"Rue Oberkampf, 75011 Paris",11e arrondissement,,SAVEURS d'ITALIE,
PA_1462,PA,40,48.8913630736,2.3192835081,,LOW,0,0,0,0,0,5,5,1,0,1,633,49,0,0,0,0,1,48.8838219,2.3394232,3.168,,0,1,1.6945,APPROX,"Rue des Abbesses ou rue Lepic, 18e arrondissement",Montmartre ou 18e arrondissement,,,
PA_462,PA,20,48.8683055237,2.3474516976,,HIGH,2,1,0,1,0,6,10,1,1,1,434,39,1,0,0,0,1,48.8739337,2.349824,1.935,1.352,1,1,0.6494,OK,"44 Rue des Petites Écuries, 75010 Paris",3e arrondissement,RUE DES PETITES ECURIES|3e Arr't,ROGER LAKHMY,
PA_99,PA,10,48.8531707359,2.3437360693,,HIGH,0,0,1,0,1,4,6,1,1,1,569,31,0,0,0,0,1,48.8534792,2.3437433,0.709,0.859,1,1,0.0343,EXCELLENT,"Place Saint-Michel, 75006 Paris",6e arrondissement,,,Fontaine Saint-Michel
PA_623,PA,20,48.8273172235,2.3857267033,,MEDIUM,0,0,1,0,0,5,6,1,0,1,412,37,0,0,0,0,1,48.8342252,2.3663044,2.694,0.772,1,1,1.6159,APPROX,"Boulevard Vincent Auriol, 75013 Paris",13e arrondissement,,,Pont ferroviaire
PA_1404,PA,50,48.8453491849,2.3708209834,,MEDIUM,0,1,0,0,0,4,5,1,1,1,508,53,0,0,0,0,1,48.8457131,2.3726303,1.924,,0,1,0.1384,GOOD,"Boulevard Diderot, 75012 Paris (secteur Gare de Lyon)",12e arrondissement (proche Gare de Lyon),,Le Paris Lyon,
PA_1052,PA,20,48.8875032015,2.347277908,,HIGH,1,0,0,0,0,5,6,1,1,1,393,41,0,1,1,1,1,48.8874122,2.3461607,3.455,0.24,1,1,0.0823,EXCELLENT,"Rue du Chevalier de la Barre, 75018 Paris",18e arrondissement (Montmartre),RUE DU CHEVALIER DE LA BARRE,,
PA_397,PA,30,48.8669700497,2.414107265,,LOW,0,0,0,0,0,6,6,1,0,1,578,75,0,0,0,0,1,48.8351277,2.3854436,3.409,,0,1,4.1152,ZONE,Cour ou passage dans le 11e arrondissement (secteur Oberkampf/Ménilmontant),"10e, 11e ou 20e arrondissement",,,
PA_15,PA,10,48.8481072362,2.3808666343,,HIGH,1,0,0,0,0,5,6,1,1,1,471,26,0,0,0,0,1,48.8493345,2.3796718,2.166,0.579,1,1,0.1621,GOOD,"Rue Crozatier, 75012 Paris",12e arrondissement,RUE CROZATIER,,
PA_480,PA,50,48.8558976585,2.3596927663,,LOW,0,1,0,0,0,11,12,1,0,1,511,51,0,0,0,0,0,,,,,0,1,,NO_GEO,"Rue dans le 3e ou 4e arrondissement, secteur Marais","Marais ou quartiers centraux (3e, 4e, ou 11e arrondissement)",,C...Chai,
PA_520,PA,20,48.8356122879,2.4947206626,,HIGH,3,0,2,0,0,5,10,1,1,1,354,41,0,0,0,1,1,48.849601,2.4969518,10.619,0.0,1,1,1.564,APPROX,"Avenue de Bry, 94170 Le Perreux-sur-Marne",Le Perreux-sur-Marne,Hôtel IBIS|Escamoteur|LE PERREUX-SUR-MARNE,,Aqueduc de l'Avre|LE PERREUX-SUR-MARNE
PA_351,PA,20,48.8700390187,2.3939097947,,HIGH,0,1,1,0,0,7,9,1,0,1,463,36,1,0,0,0,1,48.8699321,2.394031,3.4,0.541,1,1,0.0148,EXCELLENT,"121 rue de Ménilmontant, 75020 Paris",20e arrondissement,,Pavillon Carré de Baudouin,Pavillon Carré de Baudouin
PA_1031,PA,50,48.9005609319,2.3891752493,,LOW,0,0,0,0,0,5,5,1,0,1,564,28,0,0,0,0,1,48.8370444,2.3728619,2.648,1.318,1,1,7.1628,ZONE,"Quai de la Gare, 75013 Paris",13e arrondissement,,,
PA_1294,PA,30,48.872489886,2.3137929388,,LOW,0,1,0,0,0,6,7,1,0,1,418,114,0,0,0,0,1,48.8853429,2.3866978,4.072,,0,1,5.5196,ZONE,"Quartier résidentiel entre le 7e et 15e arrondissement, probablement proche de la limite entre ces arrondissements",7e ou 15e arrondissement,,Au 4/1 ...ailleur,
PA_875,PA,30,48.8253782522,2.3536325505,,HIGH,1,2,0,2,0,5,10,1,0,1,379,38,1,0,0,0,1,48.8562021,2.3556193,0.254,0.0,1,1,3.4305,ZONE,"2-3 rue du Puits des Prés, 75004 Paris",4e arrondissement,RUE DU PUITS DES PRES,FONCIA|...maison le confiseur,
PA_1511,PA,20,48.8563578178,2.3658199324,,HIGH,0,0,1,0,0,4,5,1,1,1,458,29,0,0,0,0,1,48.8550137,2.3652362,0.97,0.716,1,1,0.1554,GOOD,"Place des Vosges, 75004 Paris",4e arrondissement,,,Place des Vosges
PA_1270,PA,50,48.8864955292,2.3747236859,,HIGH,0,0,2,0,0,2,4,1,1,1,486,48,0,0,0,0,1,48.876225,2.3595209,2.247,0.0,1,1,1.5938,APPROX,"Passerelle Richerand, Quai de Valmy, 75010 Paris",10e arrondissement,,,Canal Saint-Martin|Passerelle verte
PA_1155,PA,50,48.8577303385,2.4143506228,,MEDIUM,0,0,0,0,0,7,7,1,1,1,565,93,0,0,0,0,0,,,,,0,1,,NO_GEO,"Passerelle piétonne au niveau de la Porte de la Villette, Boulevard Périphérique, 75019 Paris",Périphérique parisien - probablement Porte de la Villette ou Porte de Pantin (19e arr.),,,
PA_611,PA,30,48.9612056056,2.4737157147,,LOW,0,0,0,0,0,7,7,1,0,1,595,89,0,0,0,0,0,,,,,0,1,,NO_GEO,"Périphérique Parisien, secteur Nord-Est (entre Porte de la Villette et Porte de Bagnolet)","Périphérique ou voie rapide urbaine (probablement Porte de la Villette, Porte de Pantin, ou autre zone périphérique Nord/Est)",,,
PA_276,PA,30,48.844617985,2.3732845995,,MEDIUM,0,0,0,0,1,5,6,1,0,1,433,68,0,0,0,0,0,,,,,0,1,,NO_GEO,"Parking souterrain du quartier de La Défense, 92000 Nanterre/Puteaux",Quartier de la Défense ou proche banlieue ouest,,,
PA_1530,PA,40,48.86152,2.36354,,MEDIUM,0,1,0,1,0,7,9,1,0,1,400,42,1,0,0,0,1,48.866429,2.331489,1.868,,0,1,2.4072,APPROX,"14 rue du Marché Saint-Honoré, 75001 Paris",Marais ou Saint-Germain-des-Prés,,Rails,
PA_307,PA,30,48.8686820507,2.389385594,,MEDIUM,0,0,1,0,0,5,6,1,0,1,435,71,0,0,0,0,1,48.8870252,2.3413591,3.475,,0,1,4.0614,ZONE,"Rue du Mont-Cenis ou environs du Village Montmartre, 18e arrondissement",Montmartre ou 18e arrondissement,,,Plaque commémorative partiellement visible mentionnant 'VILLAGE VICTORIEN' et 'ETATS MAJORS'
PA_1555,PA,40,48.8506496,2.4062503,,LOW,0,1,0,0,0,5,6,1,0,1,491,109,0,0,0,0,1,48.8712984,2.3630771,1.818,,0,1,3.9047,ZONE,"Centre commercial à Paris, probablement Forum des Halles (1er arr.) ou autre grand centre commercial parisien","Zone commerciale, probablement centre commercial ou rue commerçante (arrondissement à déterminer)",,STRADIVARIUS,
PA_452,PA,10,48.8528186095,2.3764954227,,MEDIUM,0,1,0,1,0,5,7,1,0,1,557,40,1,0,0,0,1,48.8616249,2.3744345,1.72,0.525,1,1,0.9908,OK,"5 rue de la Folie-Méricourt, 75011 Paris",11e arrondissement,,EPYE,
PA_194,PA,10,48.8600413706,2.377265293,,LOW,0,1,0,0,0,5,6,1,0,1,531,26,0,1,1,0,1,48.8603022,2.3547759,0.453,,0,1,1.6455,APPROX,"Rue du Temple, 75003 Paris",3e ou 11e arrondissement,,CIC,
PA_29,PA,20,48.8625282346,2.3598354874,,MEDIUM,0,1,0,2,0,6,9,1,0,1,446,29,1,1,1,0,1,48.8617004,2.3567938,0.659,,0,1,0.2408,GOOD,"78 Rue du Temple, 75003 Paris",3e ou 4e arrondissement,,O'Paris Plaisir,
PA_1184,PA,50,48.7623485739,2.3405008827,,LOW,0,0,0,0,0,6,6,1,0,1,522,78,0,0,0,0,1,48.8215183,2.3196121,4.572,,0,1,6.755,ZONE,"Périphérique de Paris, secteur des Portes nord ou est (17e-19e arrondissement)","Périphérique parisien - probablement zone des Portes (17e, 18e ou 19e arrondissement)",,,
PA_74,PA,50,48.8602814744,2.3620632905,,MEDIUM,0,0,0,0,0,7,7,1,0,1,580,62,0,1,1,0,1,48.8581725,2.3596941,0.575,,0,1,0.2916,GOOD,"Rue des Francs-Bourgeois ou rue Vieille-du-Temple, 75003 Paris",Marais - 3e ou 4e arrondissement,,,
PA_1154,PA,30,48.8687179666,2.3634398897,,HIGH,1,2,1,0,0,6,10,1,1,1,489,35,0,0,0,0,1,48.8666835,2.3650856,1.465,1.41,1,1,0.2563,GOOD,"Place de la République, 75011 Paris",11e arrondissement,PLACE DE LA RÉPUBLIQUE,Pierre|Naturalia,Place de la République
PA_1389,PA,30,48.813554419,2.2465931534,,HIGH,0,0,2,0,0,5,7,1,1,1,515,58,0,0,0,0,1,48.8543371,2.2887112,4.652,1.456,1,1,5.4834,ZONE,"Boulevard de Grenelle sous le Viaduc de Passy, 75016 Paris",16e arrondissement,,,Viaduc de Passy|Pont de Bir-Hakeim
PA_315,PA,10,48.8300623665,2.3511706525,,MEDIUM,0,0,0,0,0,8,8,1,0,1,536,74,0,0,0,0,1,48.8211746,2.3515464,3.939,2.276,1,1,0.9887,OK,"Avenue de la Porte de Gentilly ou Boulevard Kellermann, 13e arrondissement",13e ou 14e arrondissement,,,
PA_484,PA,20,48.8783837259,2.3230383003,,MEDIUM,0,0,1,0,0,7,8,1,0,1,550,48,0,0,0,0,1,48.8630264,2.3234495,2.221,,0,1,1.7079,APPROX,"Quai des Tuileries ou Pont des Arts, 75001 Paris","1er, 4e, 6e ou 7e arrondissement (rive droite ou rive gauche)",,,Pilier de pont monumental avec grille en fer forgé
PA_516,PA,10,48.8702557519,2.3953072009,,HIGH,1,0,0,1,0,5,7,1,1,1,330,35,1,0,0,0,1,48.8674556,2.3849794,2.685,0.907,1,1,0.8171,OK,"20 rue de Ménilmontant, 75020 Paris",20e arrondissement,RUE MÉNILMONTANT,,
PA_1188,PA,30,48.8424409824,2.3349844234,,LOW,0,2,0,0,0,6,8,1,0,1,489,74,0,0,0,0,0,,,,,0,1,,NO_GEO,"Angle de rue dans le 11e arrondissement, secteur Oberkampf ou Ménilmontant",11e ou 20e arrondissement,,Chez G|L'AIGLE ET L'ENFANT,
PA_183,PA,10,48.8503775157,2.3318976736,,HIGH,1,1,0,1,0,6,9,1,1,1,399,27,1,0,0,0,1,48.8503729,2.3318182,1.644,0.083,1,1,0.0058,EXCELLENT,"381 rue Madame, 75006 Paris",6e arrondissement,RUE MADAME,Librairie,
PA_260,PA,10,48.8474889463,2.268636624,,HIGH,0,0,1,0,0,7,8,1,1,1,473,35,0,0,0,1,1,48.8654754,2.3970061,3.423,0.0,1,1,9.6022,ZONE,"Place Saint-Jean-Bosco, 75020 Paris",20e arrondissement,,,Église Saint-Jean-Bosco
PA_1425,PA,30,48.8558085604,2.3718133088,,HIGH,0,3,1,0,0,5,9,1,0,1,375,34,1,0,0,1,1,48.862072,2.3563175,0.679,,0,1,1.3305,APPROX,"9 rue Michel-le-Comte, 75003 Paris","Marais ou quartier central (probablement 3e, 4e ou 11e arrondissement)",,Le Café des Chats|SHAMAP|FABRICANT PRÊT À PORTER FÉMININ,Le Café des Chats
PA_636,PA,30,48.8479644275,2.3516820887,,HIGH,1,2,0,1,0,6,10,1,1,1,406,32,1,0,0,0,1,48.8768334,2.3362388,2.535,0.454,1,1,3.4031,ZONE,"32 rue Saint-Lazare, 75009 Paris",9e arrondissement,RUE SAINT-LAZARE,COMPTOIR DES VOYAGES|COMPTOIR ASIE,
PA_742,PA,50,48.8729714615,2.390987746,,MEDIUM,0,1,0,0,0,6,7,1,0,1,563,52,0,0,0,0,1,48.8664862,2.3831541,2.517,,0,1,0.921,OK,"Quartier Belleville-Ménilmontant, 11e arrondissement",11e ou 20e arrondissement,,Livraison gratuite,
PA_252,PA,20,48.8720502882,2.3770105127,,LOW,0,0,0,0,1,5,6,1,0,1,549,95,0,0,0,0,0,,,,,0,1,,NO_GEO,Station de métro parisienne - localisation précise impossible sans identification de la station,Estimation impossible - station de métro non identifiable,,,
PA_793,PA,20,48.8206032439,2.3754733901,,LOW,0,0,0,0,0,4,4,1,0,1,433,77,0,0,0,0,1,48.8755668,2.3599477,2.184,,0,1,6.2164,ZONE,"Zone Canal Saint-Martin ou Belleville, probablement 10e ou 11e arrondissement","10e, 11e ou 19e arrondissement",,,
PA_820,PA,20,48.8624722531,2.3637115328,,MEDIUM,1,2,0,0,0,5,8,1,0,1,491,26,0,0,0,1,1,48.8644647,2.3717367,1.676,0.89,1,1,0.6275,OK,"Rue Oberkampf, 75011 Paris",11e arrondissement,RUE ...,COPY STORE|Le P'tit Gaillard,
LA_182,LA,20,34.0488391859,-118.24083733,,MEDIUM,0,1,0,0,0,3,4,1,0,1,501,37,0,0,0,0,1,34.0253611,-118.2202241,3.686,,0,1,3.2285,ZONE,"Jack in the Box, Downtown Los Angeles",Downtown Los Angeles ou Hollywood,,Jack in the Box,
LA_158,LA,50,34.0501929954,-118.2383977051,,LOW,0,0,0,0,0,6,6,1,0,1,483,39,0,0,0,0,1,34.0566135,-118.248922,0.687,1.823,1,1,1.2041,APPROX,"Arts District, Downtown Los Angeles, CA",Downtown Los Angeles Arts District,,,
LA_206,LA,30,34.0347166498,-118.2322010502,,MEDIUM,0,1,0,0,0,4,5,1,0,1,448,40,0,0,0,0,1,34.0568132,-118.242564,0.524,0.702,1,1,2.636,APPROX,"Broadway, Downtown Los Angeles, CA 90013",Downtown Los Angeles,,PROPERTY CONDEMNED,
LA_136,LA,10,34.0330575796,-118.3750812358,,LOW,0,0,0,0,0,6,6,1,0,1,447,82,0,0,0,0,1,34.0083569,-118.1095097,13.292,0.0,1,1,24.6293,FAR,"West Los Angeles commercial corridor, possibly Pico Blvd or Santa Monica Blvd area",West Los Angeles,,,
LA_116,LA,10,34.0333149233,-118.3758796599,,MEDIUM,0,1,0,1,0,4,6,1,0,1,505,38,1,0,0,0,1,34.0303954,-118.4305204,17.384,29.687,1,1,5.0456,ZONE,"2721 S Sepulveda Blvd, Los Angeles, CA",West Los Angeles,,Continental,
LA_172,LA,50,34.0679357718,-118.2264990112,,MEDIUM,0,0,0,0,0,8,8,1,0,1,584,57,1,0,0,0,1,34.0443348,-118.2358086,1.137,0.0,1,1,2.7609,APPROX,"MOCA Grand Avenue, 250 S Grand Ave, Los Angeles, CA 90012",Downtown Los Angeles Arts District,,,
LA_176,LA,40,34.1015994055,-118.3097587092,,MEDIUM,1,1,1,0,0,4,7,1,0,1,483,61,1,0,0,0,1,34.0392523,-118.5438752,27.694,28.391,1,1,22.6511,FAR,"Entre 300-600 S Spring Street, Downtown Los Angeles, CA 90013",Downtown Los Angeles / Arts District,ADAM B. SCHIFF CONGRESSMAN 28TH DISTRICT DISTRICT OFFICE,...pace,Adam B. Schiff District Office
LA_33,LA,10,34.076337549,-118.4545944423,,LOW,0,0,0,0,0,6,6,1,0,1,358,83,0,0,0,0,0,,,,,0,1,,NO_GEO,"Quartier résidentiel de West Los Angeles, intersection non identifiable précisément",West Los Angeles ou Santa Monica area,,,
LA_01,LA,20,34.083852797,-118.3442519677,,MEDIUM,0,2,0,0,0,4,6,1,0,1,554,47,0,0,0,0,1,33.9799601,-118.468771,22.245,0.0,1,1,16.2825,FAR,"Ocean Front Walk, Venice Beach, Los Angeles, CA",Venice Beach,,DINK'S|HOT DOGS,
LA_169,LA,50,34.1014111435,-118.3430588908,,MEDIUM,0,3,1,0,0,4,8,1,0,1,553,43,0,0,0,0,1,34.1015488,-118.3380732,10.279,6.628,1,1,0.4593,GOOD,"Hollywood Boulevard, Hollywood, Los Angeles",Hollywood,,Hollywood|Lavo|Sizzler,Hollywood Boulevard area
NY_164,NY,30,40.7273734982,-73.9827266797,,HIGH,2,2,0,2,0,6,12,1,0,1,382,52,1,0,0,1,1,40.7292688,-73.9873613,2.413,0.0,1,1,0.4438,GOOD,"145 Avenue A, angle E 9th Street, New York, NY 10009",East Village,E 9 St|AVE A,CAFE PI|OKO,
NY_63,NY,10,40.722248874,-73.997236457,,MEDIUM,0,0,0,0,1,5,6,1,0,1,500,91,0,0,0,0,0,,,,,0,1,,NO_GEO,"NYC Subway station, Manhattan (specific station cannot be determined from visible elements)",Manhattan (subway station),,,
NY_81,NY,0,40.7486434056,-74.0040692792,,MEDIUM,0,0,0,0,0,5,5,1,0,1,394,42,0,0,0,0,1,40.7159357,-73.9868057,1.655,3.485,1,1,3.917,ZONE,"Lower East Side ou East Village, Manhattan",Manhattan,,,
NY_113,NY,30,40.7081316569,-73.9991228504,,MEDIUM,0,0,2,0,0,6,8,1,1,1,656,74,0,0,0,0,1,40.7036727,-74.0068441,1.017,1.456,1,1,0.8182,OK,"East River Waterfront Esplanade near Montgomery Street, New York, NY 10002",Lower East Side / Two Bridges,,,Manhattan Bridge|Two Bridges Tower
NY_181,NY,30,40.7398695598,-73.9989655016,,MEDIUM,0,1,0,0,0,3,4,1,0,1,427,29,0,0,0,0,1,40.6678377,-73.9791449,5.488,0.0,1,1,8.182,ZONE,"J's Pizza, Brooklyn, New York",Brooklyn,,J's Pizza,
NY_138,NY,20,40.7390591782,-74.0034204039,,LOW,0,0,0,0,0,6,6,1,0,1,388,86,0,0,0,0,1,40.7153802,-74.0093063,0.4,,0,1,2.6793,APPROX,"Secteur Tribeca ou Lower Manhattan, probablement entre Canal Street et Chambers Street",Lower Manhattan ou Tribeca,,,
