invader_id,city_code,points,gt_lat,gt_lng,gt_source,confidence,n_street_signs,n_shop_signs,n_landmarks,n_building_numbers,n_metro_bus,n_other_clues,n_total_clues,has_district,has_postcode,has_address,reasoning_length,address_length,address_has_number,address_has_business,address_n_business,signs_total_business,geo_success,geo_lat,geo_lng,distance_to_center_km,distance_to_district_km,district_geocodes,city_coherent,error_km,error_class,best_address_guess,district,street_signs,shop_signs,landmarks
PA_39,PA,10,48.8483071245,2.3464450838,,HIGH,2,0,0,0,0,5,7,1,1,1,500,25,0,0,0,0,1,48.848173,2.3465461,1.024,0.293,1,1,0.0166,EXCELLENT,"Rue d'Ecosse, 75005 Paris",5e arrondissement,RUE D'ECOSSE|RUE ...EMPART,,
PA_76,PA,10,48.8382501724,2.3573038327,,MEDIUM,0,1,1,0,0,6,8,1,0,1,546,28,0,0,0,1,1,48.8579369,2.380159,2.051,,0,1,2.7548,APPROX,"Place Léon Blum, 75011 Paris",11e ou 12e arrondissement,,café brasserie,Statue de soldat avec drapeau sur colonne
PA_46,PA,10,48.8522592738,2.3391309585,,HIGH,0,1,1,0,0,6,8,1,1,1,512,63,0,0,0,0,1,48.858416,2.379703,2.022,0.0,1,1,3.0463,ZONE,"Place de la Bastille, angle Boulevard Beaumarchais, 75011 Paris",11e arrondissement,,HSBC,Monument à Beaumarchais
PA_1509,PA,30,48.8558715427,2.3568034602,,HIGH,2,1,1,1,0,5,10,1,1,1,297,34,1,0,0,0,1,48.8557693,2.3569826,0.362,0.334,1,1,0.0173,EXCELLENT,"15 rue François Miron, 75004 Paris",4e arrondissement (Marais),RUE FRANCOIS MIRON|4e Arr.,Faust,Maison à colombages médiévale
PA_1369,PA,100,48.9040075428,2.3591090807,,MEDIUM,0,3,0,0,0,6,9,1,0,1,517,56,0,0,0,0,1,48.8198495,2.359242,4.119,1.488,1,1,9.358,ZONE,"Avenue d'Italie ou Boulevard Masséna, 13e arrondissement",13e arrondissement,,GROUPE TRAN|CASINO|ALLO ma,
PA_1157,PA,30,48.8640269834,2.3547600528,,MEDIUM,0,1,0,0,0,6,7,1,0,1,559,60,0,0,0,0,1,48.8675421,2.3639583,1.49,,0,1,0.7781,OK,"Rue aux alentours du Marais ou République, 3e arrondissement",3e ou 4e arrondissement,,PARAPH,
PA_111,PA,10,48.8915853826,2.3445750068,,HIGH,1,0,0,0,0,4,5,1,1,1,384,23,0,0,0,0,1,48.8913784,2.3444428,3.909,0.519,1,1,0.025,EXCELLENT,"Rue Hermel, 75018 Paris",18e arrondissement (Montmartre),RUE HERMEL,,
PA_1183,PA,30,48.8457730965,2.4028507946,,MEDIUM,0,1,0,0,0,5,6,1,0,1,397,50,0,1,1,0,1,48.8609404,2.3556769,0.546,,0,1,3.8415,ZONE,"Rue du Temple ou Rue de Turenne, 3e arrondissement",3e ou 4e arrondissement,,SAVEURS d'ITALIE,
PA_1462,PA,40,48.8913630736,2.3192835081,,LOW,0,0,0,0,0,4,4,1,0,1,513,49,0,0,0,0,1,48.8745493,2.3416651,2.139,,0,1,2.4847,APPROX,"Quartier de Montmartre, 18e arrondissement, Paris",Montmartre ou quartiers nord de Paris (18e arrondissement probable),,,
PA_462,PA,20,48.8683055237,2.3474516976,,HIGH,1,1,0,1,0,6,9,1,1,1,425,39,1,0,0,0,1,48.8739337,2.349824,1.935,0.754,1,1,0.6494,OK,"44 Rue des Petites Écuries, 75010 Paris",10e arrondissement,R. DES PETITES ÉCURIES,ROGER LAKHMY,
PA_99,PA,10,48.8531707359,2.3437360693,,HIGH,0,0,1,0,1,4,6,1,1,1,420,31,0,0,0,0,1,48.8534792,2.3437433,0.709,0.859,1,1,0.0343,EXCELLENT,"Place Saint-Michel, 75006 Paris",6e arrondissement,,,Fontaine Saint-Michel
PA_623,PA,20,48.8273172235,2.3857267033,,MEDIUM,0,0,1,0,0,6,7,1,0,1,579,61,0,0,0,0,1,48.8231439,2.3814158,4.291,2.168,1,1,0.5612,OK,"Boulevard Périphérique près de la Porte d'Italie, 75013 Paris",13e arrondissement,,,Pont ferroviaire/autoroutier
PA_1404,PA,50,48.8453491849,2.3708209834,,MEDIUM,0,1,0,0,0,6,7,1,0,1,610,37,0,0,0,0,1,48.8369028,2.3729055,2.663,1.316,1,1,0.9515,OK,"Boulevard Vincent Auriol, 75013 Paris",13e arrondissement,,Le Paris Lyon,
PA_1052,PA,20,48.8875032015,2.347277908,,HIGH,1,0,0,0,0,5,6,1,1,1,340,41,0,1,1,1,1,48.8874122,2.3461607,3.455,0.24,1,1,0.0823,EXCELLENT,"Rue du Chevalier de la Barre, 75018 Paris",18e arrondissement (Montmartre),RUE DU CHEVALIER DE LA BARRE,,
PA_397,PA,30,48.8669700497,2.414107265,,LOW,0,0,0,0,0,6,6,1,0,1,503,53,0,0,0,0,1,48.8680286,2.3355409,1.761,,0,1,5.7479,ZONE,Passage ou cour intérieure dans le 11e arrondissement,11e ou 20e arrondissement,,,
PA_15,PA,10,48.8481072362,2.3808666343,,HIGH,1,0,0,0,0,4,5,1,1,1,437,26,0,0,0,0,1,48.8493345,2.3796718,2.166,0.579,1,1,0.1621,GOOD,"Rue Crozatier, 75012 Paris",12e arrondissement,RUE CROZATIER,,
PA_480,PA,50,48.8558976585,2.3596927663,,MEDIUM,0,1,0,0,0,6,7,1,0,1,550,57,0,0,0,0,1,48.8573232,2.3624734,0.756,,0,1,0.2579,GOOD,"Rue du quartier du Marais, 3e ou 4e arrondissement, Paris",Marais ou Bastille (3e-4e ou 11e arrondissement),,C...ON,
PA_520,PA,20,48.8356122879,2.4947206626,,HIGH,3,2,2,0,0,4,11,1,1,1,342,41,0,0,0,1,0,,,,,0,1,,NO_GEO,"Avenue du Président Wilson, 94110 Arcueil",Arcueil ou 14e arrondissement,Hôtel IBIS|L'Estaminet|Pôle Atelier,Hôtel IBIS|L'Estaminet,Viaduc d'Arcueil|Aqueduc
PA_351,PA,20,48.8700390187,2.3939097947,,HIGH,0,1,1,0,0,5,7,1,1,1,504,36,1,0,0,0,1,48.8699321,2.394031,3.4,0.541,1,1,0.0148,EXCELLENT,"121 rue de Ménilmontant, 75020 Paris",20e arrondissement,,Pavillon Carré de Baudouin,Pavillon Carré de Baudouin
PA_1031,PA,50,48.9005609319,2.3891752493,,LOW,0,0,0,0,0,6,6,1,0,1,565,57,0,0,0,0,1,48.8524319,2.3871411,2.598,3.141,1,1,5.3538,ZONE,Quartier industriel ou périphérique du 13e arrondissement,13e arrondissement,,,
PA_1294,PA,30,48.872489886,2.3137929388,,LOW,0,1,0,0,0,6,7,1,0,1,423,52,0,0,0,0,1,48.8480842,2.2968117,4.162,,0,1,2.9846,APPROX,"Rue du Commerce ou rue adjacente, 15e arrondissement",7e ou 15e arrondissement,,Au 4e Parisien,
PA_875,PA,30,48.8253782522,2.3536325505,,HIGH,1,2,0,2,0,6,11,1,0,1,404,36,1,0,0,0,1,48.8562021,2.3556193,0.254,0.0,1,1,3.4305,ZONE,"2 Rue du Puits des Prés, 75004 Paris",4e arrondissement,RUE DU PUITS DES PRES,FONCIA|...maison le confiseur,
PA_1511,PA,20,48.8563578178,2.3658199324,,MEDIUM,0,0,1,0,0,4,5,1,0,1,561,46,0,0,0,0,0,,,,,0,1,,NO_GEO,"Place des Vosges, passage d'angle, 75004 Paris",3e ou 4e arrondissement (Place des Vosges ou environs du Marais),,,Passage voûté en pierre de taille avec alternance brique/pierre
PA_1270,PA,50,48.8864955292,2.3747236859,,HIGH,0,0,2,0,0,5,7,1,1,1,417,26,0,0,0,0,1,48.8692499,2.3665826,1.757,0.932,1,1,2.0079,APPROX,"Quai de Valmy, 75010 Paris",10e arrondissement,,,Canal Saint-Martin|Passerelle verte
PA_1155,PA,50,48.8577303385,2.4143506228,,MEDIUM,0,0,0,0,0,7,7,1,0,1,542,59,0,0,0,0,1,48.8231439,2.3814158,4.291,2.168,1,1,4.5387,ZONE,"Boulevard Périphérique près de la Porte d'Ivry, 75013 Paris",13e arrondissement,,,
PA_611,PA,30,48.9612056056,2.4737157147,,LOW,0,0,0,0,0,7,7,1,0,1,415,79,0,0,0,0,0,,,,,0,1,,NO_GEO,"Périphérique de Paris ou voie rapide d'accès (A1, A3, A4, A6, A86 ou similaire)",Périphérique ou zone autoroutière parisienne,,,
PA_276,PA,30,48.844617985,2.3732845995,,LOW,0,0,0,0,1,5,6,1,0,1,561,62,0,0,0,0,0,,,,,0,1,,NO_GEO,"Parking souterrain du quartier de La Défense, 92400 Courbevoie",Quartier de La Défense ou proche périphérie ouest,,,
PA_1530,PA,40,48.86152,2.36354,,MEDIUM,0,1,0,1,0,7,9,1,0,1,555,37,1,1,1,0,1,48.8562984,2.3566054,0.324,,0,1,0.771,OK,"14 rue Vieille du Temple, 75004 Paris",Marais (3e ou 4e arrondissement),,Rats,
PA_307,PA,30,48.8686820507,2.389385594,,MEDIUM,0,0,1,0,0,7,8,1,0,1,490,40,0,0,0,0,1,48.8612771,2.2658583,6.338,0.816,1,1,9.0732,ZONE,"Avenue du Maréchal Maunoury, 75016 Paris",16e arrondissement,,,"Plaque commémorative historique sur mur (texte partiellement visible mentionnant 'VICTOIRE', 'ETATS-UNIS', 'FRANCE')"
PA_1555,PA,40,48.8506496,2.4062503,,MEDIUM,0,1,0,0,0,5,6,1,0,1,650,40,0,0,0,0,1,48.8718884,2.353818,1.704,,0,1,4.5044,ZONE,"Rue du Faubourg Saint-Denis, 75010 Paris",Quartier de la gare (probablement 10e arrondissement),,STRASBOSS,
PA_452,PA,10,48.8528186095,2.3764954227,,MEDIUM,0,1,0,1,0,6,8,1,0,1,563,37,1,0,0,0,1,48.8708094,2.3771028,2.411,,0,1,2.001,APPROX,"5 rue de la Présentation, 75011 Paris",10e ou 11e arrondissement,,EPYE,
PA_194,PA,10,48.8600413706,2.377265293,,MEDIUM,0,1,0,0,0,6,7,1,0,1,500,26,0,1,1,0,1,48.8594867,2.3540494,0.348,,0,1,1.6995,APPROX,"Rue du Temple, 75003 Paris",3e ou 11e arrondissement,,CIC,
PA_29,PA,20,48.8625282346,2.3598354874,,MEDIUM,0,1,0,2,0,5,8,1,0,1,474,29,1,1,1,0,1,48.8617004,2.3567938,0.659,,0,1,0.2408,GOOD,"78 rue du Temple, 75003 Paris",3e ou 4e arrondissement,,O'PUB PLANCHE,
PA_1184,PA,50,48.7623485739,2.3405008827,,LOW,0,0,0,0,0,6,6,1,0,1,485,74,0,0,0,0,0,,,,,0,1,,NO_GEO,"Périphérique nord de Paris, secteur Porte de la Villette - Porte de Pantin",Périphérique nord ou est de Paris,,,
PA_74,PA,50,48.8602814744,2.3620632905,,LOW,0,0,0,0,0,6,6,1,0,1,455,60,0,0,0,0,1,48.8581725,2.3596941,0.575,,0,1,0.2916,GOOD,"Rue des Francs-Bourgeois ou rue adjacente, 3e arrondissement",Marais ou Île Saint-Louis (3e ou 4e arrondissement),,,
PA_1154,PA,30,48.8687179666,2.3634398897,,HIGH,1,1,1,0,0,6,9,1,1,1,392,35,0,0,0,0,1,48.8665659,2.3649065,1.446,1.412,1,1,0.2622,GOOD,"Place de la République, 75011 Paris",11e arrondissement,PLACE DE LA REPUBLIQUE,Pierre,Place de la République
PA_1389,PA,30,48.813554419,2.2465931534,,MEDIUM,0,0,2,0,0,5,7,1,0,1,734,47,1,0,0,0,0,,,,,0,1,,NO_GEO,"Rue de Tolbiac sous viaduc ligne 6, 75013 Paris",13e ou 19e arrondissement,,,Viaduc ferroviaire en pierre|Arche monumentale en pierre de taille
PA_315,PA,10,48.8300623665,2.3511706525,,MEDIUM,0,0,0,0,0,8,8,1,0,1,500,24,0,0,0,0,1,48.8731404,2.2847315,5.267,2.406,1,1,6.8246,ZONE,"Avenue Foch, 75016 Paris",16e arrondissement,,,
PA_484,PA,20,48.8783837259,2.3230383003,,HIGH,0,0,1,0,0,6,7,1,1,1,463,26,0,0,0,0,1,48.849773,2.3579506,0.868,0.735,1,1,4.0796,ZONE,"Pont de Sully, 75004 Paris",4e arrondissement,,,Pont de Sully
PA_516,PA,10,48.8702557519,2.3953072009,,HIGH,1,0,0,1,0,4,6,1,1,1,257,35,1,0,0,0,1,48.8674556,2.3849794,2.685,0.907,1,1,0.8171,OK,"20 rue de Ménilmontant, 75020 Paris",20e arrondissement,RUE MÉNILMONTANT,,
PA_1188,PA,30,48.8424409824,2.3349844234,,MEDIUM,0,2,0,0,0,7,9,1,0,1,502,67,0,0,0,0,0,,,,,0,1,,NO_GEO,"Angle d'une rue dans le 11e arrondissement, secteur Bastille/Nation",11e ou 12e arrondissement,,Chez G|L'AIGLE ET L'ENFANT,
PA_183,PA,10,48.8503775157,2.3318976736,,HIGH,1,1,0,1,0,6,9,1,1,1,432,49,0,0,0,0,1,48.8504333,2.3329507,1.566,0.0,1,1,0.0773,EXCELLENT,"Angle Rue Madame et Rue de Vaugirard, 75006 Paris",6e arrondissement,RUE MADAME,Librairie,
PA_260,PA,10,48.8474889463,2.268636624,,HIGH,0,0,1,0,0,5,6,1,1,1,455,35,0,0,0,1,1,48.8654754,2.3970061,3.423,0.0,1,1,9.6022,ZONE,"Place Saint-Jean-Bosco, 75020 Paris",20e arrondissement,,,Église Saint-Jean-Bosco
PA_1425,PA,30,48.8558085604,2.3718133088,,HIGH,0,3,1,0,0,4,8,1,0,1,327,34,1,0,0,1,1,48.862072,2.3563175,0.679,,0,1,1.3305,APPROX,"9 rue Michel le Comte, 75003 Paris",3e ou 11e arrondissement,,Le Café des Chats|SHAMAP|FABRICANT PRÊT À PORTER FÉMININ,Le Café des Chats
PA_636,PA,30,48.8479644275,2.3516820887,,HIGH,1,2,0,1,0,5,9,1,1,1,443,30,1,0,0,0,1,48.8609855,2.3813626,2.188,0.31,1,1,2.61,APPROX,"32 rue Saint-Maur, 75011 Paris",11e arrondissement,RUE SAINT-MAUR,COMPTOIR DES VOYAGES|COMPTOIR ASIE,
PA_742,PA,50,48.8729714615,2.390987746,,MEDIUM,0,1,0,0,0,9,10,1,0,1,451,59,0,0,0,1,1,48.8690005,2.3805495,2.49,,0,1,0.8819,OK,"Boulevard de Belleville ou Rue de Belleville, Paris 11e/20e",11e ou 20e arrondissement,,Pharmacie,
PA_252,PA,20,48.8720502882,2.3770105127,,LOW,0,0,0,0,0,6,6,1,0,1,550,92,0,0,0,0,0,,,,,0,1,,NO_GEO,"Station de métro parisienne, arrondissements périphériques est ou nord-est (10e-11e-18e-19e)","Estimation: 10e, 11e, 18e ou 19e arrondissement",,,
PA_793,PA,20,48.8206032439,2.3754733901,,LOW,0,0,0,0,0,5,5,1,0,1,477,51,0,0,0,0,1,48.8673731,2.3830497,2.555,,0,1,5.23,ZONE,"Secteur Belleville-Ménilmontant, 20e arrondissement",11e ou 20e arrondissement,,,
PA_820,PA,20,48.8624722531,2.3637115328,,MEDIUM,1,2,0,0,0,6,9,1,0,1,431,26,0,0,0,1,1,48.8644647,2.3717367,1.676,0.89,1,1,0.6275,OK,"Rue Oberkampf, 75011 Paris",11e arrondissement,RUE ...,COPY STORE|Le Viti Culteur,
LA_182,LA,20,34.0488391859,-118.24083733,,MEDIUM,0,1,0,0,0,3,4,1,0,1,458,29,0,0,0,0,1,34.0485055,-118.2398899,0.54,0.0,1,1,0.0948,EXCELLENT,"Little Tokyo, Los Angeles, CA",Little Tokyo,,Japanese,
LA_158,LA,50,34.0501929954,-118.2383977051,,MEDIUM,0,0,0,0,0,6,6,1,0,1,537,44,1,0,0,0,1,34.0321919,-118.2300936,2.554,1.449,1,1,2.1429,APPROX,"939 S Santa Fe Avenue, Los Angeles, CA 90021",Downtown Los Angeles Arts District,,,
LA_206,LA,30,34.0347166498,-118.2322010502,,LOW,0,1,0,0,0,4,5,1,0,1,502,83,0,0,0,0,1,34.0524195,-118.232415,1.04,0.972,1,1,1.9686,APPROX,"Downtown Los Angeles commercial district, likely Broadway or Spring Street corridor",Downtown Los Angeles,,PROPERTY MANAGEMENT,
LA_136,LA,10,34.0330575796,-118.3750812358,,LOW,0,0,0,0,0,6,6,1,0,1,435,87,0,0,0,0,0,,,,,0,1,,NO_GEO,"Artère commerciale dans Mid-City Los Angeles, probablement sur Pico Blvd ou Venice Blvd",Mid-City ou West Los Angeles,,,
LA_116,LA,10,34.0333149233,-118.3758796599,,MEDIUM,0,1,0,1,0,4,6,1,0,1,411,38,1,0,0,0,1,34.0303954,-118.4305204,17.384,29.687,1,1,5.0456,ZONE,"2721 S Sepulveda Blvd, Los Angeles, CA",West Los Angeles,,Continental,
LA_172,LA,50,34.0679357718,-118.2264990112,,MEDIUM,0,0,0,0,0,5,5,1,0,1,612,66,1,0,0,0,1,34.0443348,-118.2358086,1.137,0.0,1,1,2.7609,APPROX,"MOCA Geffen Contemporary, 152 N Central Ave, Los Angeles, CA 90012",Downtown Los Angeles Arts District,,,
LA_176,LA,40,34.1015994055,-118.3097587092,,HIGH,3,2,1,0,0,4,10,1,0,1,474,42,1,0,0,1,1,34.1015809,-118.309465,8.175,,0,1,0.0271,EXCELLENT,"5500 Hollywood Blvd, Los Angeles, CA 90028",28th Congressional District,ADAM B. SCHIFF|CONGRESSMAN 28TH DISTRICT|DISTRICT OFFICE,Cafe|...pace,Adam B. Schiff District Office
LA_33,LA,10,34.076337549,-118.4545944423,,LOW,0,0,0,0,0,5,5,1,0,1,387,74,0,0,0,0,0,,,,,0,1,,NO_GEO,"Quartier résidentiel entre Fairfax District et West Hollywood, Los Angeles",Mid-Wilshire ou West Hollywood,,,
LA_01,LA,20,34.083852797,-118.3442519677,,HIGH,0,1,1,0,0,4,6,1,0,1,418,33,1,0,0,0,1,34.0836836,-118.3441492,9.893,2.148,1,1,0.0211,EXCELLENT,"709 N La Brea Avenue, Los Angeles",Hollywood,,Pink's Hot Dogs,Pink's Hot Dogs
LA_169,LA,50,34.1014111435,-118.3430588908,,MEDIUM,0,2,1,0,0,4,7,1,0,1,432,66,1,0,0,0,1,34.0971663,-118.3274431,9.192,0.0,1,1,1.5133,APPROX,"6600-6800 block of Hollywood Boulevard, Hollywood, Los Angeles, CA",Hollywood,,Hollywood Toys & Costumes|Lavo,Hollywood Walk of Fame area
NY_164,NY,30,40.7273734982,-73.9827266797,,HIGH,2,2,0,2,0,5,11,1,0,1,460,51,1,0,0,1,1,40.7292688,-73.9873613,2.413,0.0,1,1,0.4438,GOOD,"145 Avenue A at East 9th Street, New York, NY 10009",East Village,E 9 St|AVE A,CAFE PICK ME UP|OKO,
NY_63,NY,10,40.722248874,-73.997236457,,LOW,0,0,0,0,0,6,6,1,0,1,489,88,0,0,0,0,1,40.7120952,-74.0056889,0.083,0.163,1,1,1.335,APPROX,"Station de métro dans Lower Manhattan ou Midtown, probablement ligne IRT ou BMT ancienne",Lower Manhattan,,,
NY_81,NY,0,40.7486434056,-74.0040692792,,MEDIUM,0,0,0,0,0,5,5,1,0,1,380,52,0,0,0,0,1,40.7159357,-73.9868057,1.655,3.485,1,1,3.917,ZONE,"Lower East Side ou East Village, Manhattan, New York",Manhattan,,,
NY_113,NY,30,40.7081316569,-73.9991228504,,MEDIUM,0,0,2,0,0,6,8,1,1,1,636,59,0,0,0,0,1,40.7113474,-73.9928509,1.12,0.0,1,1,0.6382,OK,"East River Park, Montgomery Street area, New York, NY 10002",Lower East Side / Two Bridges,,,Manhattan Bridge|Two Bridges Tower
NY_181,NY,30,40.7398695598,-73.9989655016,,HIGH,0,1,0,0,0,3,4,1,0,1,385,50,1,0,0,0,1,40.7159357,-73.9868057,1.655,0.0,1,1,2.8518,APPROX,"J's Pizza, 287 Bleecker Street, New York, NY 10014",Lower East Side,,J'S PIZZA,
NY_138,NY,20,40.7390591782,-74.0034204039,,LOW,0,0,0,0,0,6,6,1,0,1,462,71,0,0,0,0,0,,,,,0,1,,NO_GEO,"Quartier Tribeca ou Lower Manhattan, zone d'anciens entrepôts convertis",Lower Manhattan ou Tribeca,,,
NY_73,NY,30,40.7036539267,-73.9939254075,,HIGH,1,0,2,0,0,5,8,1,0,1,406,55,0,0,0,0,0,,,,,0,1,,NO_GEO,"Brooklyn Bridge pedestrian walkway, near Brooklyn tower",Brooklyn Bridge / DUMBO area,NY 11,,Brooklyn Bridge|Manhattan skyline
